0,TAMIL_SECTION,TAMIL_SUBDIVISION,TAMIL_CHAPTERS,TAMIL_VERSE,TAMIL_VERSE_SEGMENT_001,TAMIL_VERSE_SEGMENT_002,TAMIL_EXPLANATION,ENGLISH_SECTION,ENGLISH_SUBDIVISION,ENGLISH_CHAPTERS,ENGLISH_VERSE,ENGLISH_VERSE_SEGMENT_001,ENGLISH_VERSE_SEGMENT_002,ENGLISH_EXPLANATION
1197,இன்பத்துப்பால்,கற்பியல்,தனிப்படர்மிகுதி,பருவரலும் பைதலும் காணான்கொல் காமன் ஒருவர்கண் நின்றொழுகு வான்,,,தான் விரும்பும் காதலரின் இனிய சொல்லைப் பெறாமல் உலகத்தில் ( பிரிவுத் துன்பத்தைப் பொறுத்து) வாழ்கின்றவரைப் போல் வன்கண்மை உடையவர் இல்லை.,LOVE,The Post-marital love,The Solitary Anguish,"This cupid aims at me alone;
 Knows he not my pallor and pain?",,,"While Kaman rushes straight at me alone,
 Is all my pain and wasting grief unknown?
 Would not cupid who abides and contends in one party (only) witness the pain and sorrow (in that party)?"
1198,இன்பத்துப்பால்,கற்பியல்,தனிப்படர்மிகுதி,வீழ்வாரின் இன்சொல் பெறாஅ துலகத்து வாழ்வாரின் வன்கணார் இல்,,,"யான் விரும்பிய காதலர் மீண்டு வந்து அன்பு செய்யமாட்டார் என்றாலும், அவரைப் பற்றிய புகழைக் ‌கேட்பதும் என் செவிக்கு இன்பமாக இருக்கின்றது.",LOVE,The Post-marital love,The Solitary Anguish,"None is so firm as she who loves
 Without kind words from whom she dotes.",,,"Who hear from lover's lips no pleasant word from day to day,
 Yet in the world live out their life,- no braver souls than they!
 There is no one in the world so hard-hearted as those who can live without receiving (even) a kind word from their beloved."
1199,இன்பத்துப்பால்,கற்பியல்,தனிப்படர்மிகுதி,நசைஇயார் நல்கார் எனினும் அவர்மாட் டிசையும் இனிய செவிக்கு,,,நெஞ்சமே! நீ வாழி! அன்பு இல்லாதவரிடம் உன் மிகுந்த துன்பத்தைச் சொல்கின்றாய்! அதை விட எளிதாகக் கடலைத் தூர்ப்பாயாக.,LOVE,The Post-marital love,The Solitary Anguish,"The lover accords not my desires
 And yet his words sweeten my ears.",,,"Though he my heart desires no grace accords to me,
 Yet every accent of his voice is melody.
 Though my beloved bestows no love on one, still are his words sweet to my ears."
1200,இன்பத்துப்பால்,கற்பியல்,தனிப்படர்மிகுதி,உறாஅர்க் குறுநோய் உரைப்பாய் கடலைச் செறாஅஅய் வாழிய நெஞ்சு,,,நினைத்தாலும் தீராத பெரிய மகிழ்ச்சியைச் செய்தலால் ( உண்டபோது மட்டும் மகிழ்ச்சி தரும் ) கள்ளை விட காமம் இன்பமானதாகும்.,LOVE,The Post-marital love,The Solitary Anguish,"You tell your grief to listless he
 Bless my heart! rather fill up sea!",,,"Tell him thy pain that loves not thee?
 Farewell, my soul, fill up the sea!
 Live, O my soul, would you who relate your great sorrow to strangers, try rather to fill up your own sea (of sorrow)."
1201,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,உள்ளினும் தீராப் பெருமகிழ் செய்தலால் கள்ளினும் காமம் இனிது,,,தாம் விரும்புகின்ற காதலர் தம்மை நினைத்தலும் பிரிவால் வரக்கூடிய துன்பம் இல்லாமல் போகின்றது. அதனால் காமம் எவ்வளவாயினும் இன்பம் தருவதே ஆகும்.,LOVE,The Post-marital love,Sad Memories,"Love is sweeter than wine; for vast
 Is its delight at very thought.",,,"From thought of her unfailing gladness springs,
 Sweeter than palm-rice wine the joy love brings.
 Sexuality is sweeter than liquor, because when remembered, it creates a most rapturous delight."
1202,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,எனைத்தொன் றினிதேகாண் காமந்தாம் வீழ்வார் நினைப்ப வருவதொன் றில்,,,தும்மல் வருவது போலிருந்து வாராமல் அடங்குகின்றதே! என் காதலர் என்னை நினைப்பவர் போலிருந்து நினையாமல் விடுகின்றாரோ?,LOVE,The Post-marital love,Sad Memories,"Pains are off at the lover's thought
 In all aspects this love is sweet.",,,"How great is love! Behold its sweetness past belief!
 Think on the lover, and the spirit knows no grief.
 Even to think of one's beloved gives one no pain. Sexuality, in any degree, is always delightful."
1203,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,நினைப்பவர் போன்று நினையார்கொல் தும்மல் சினைப்பது போன்று கெடும்,,,எம்முடைய நெஞ்சில் காதலராகிய அவர் இருக்கின்றாரே! ( அது போலவே) யாமும் அவருடைய நெஞ்சத்தில் நீங்காமல் இருக்கின்றோ‌மோ?,LOVE,The Post-marital love,Sad Memories,"To sneeze I tried hence but could not
 Me he tried to think but did not.",,,"A fit of sneezing threatened, but it passed away;
 He seemed to think of me, but do his fancies stray?
 I feel as if I am going to sneeze but do not, and (therefore) my beloved is about to think (of me) but does not."
1204,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,யாமும் உளேங்கொல் அவர்நெஞ்சத் தெந்நெஞ்சத் தோஒ உளரே அவர்,,,"தம்முடைய நெஞ்சில் எம்மை வரவிடாது காவல் கொண்ட காதலர், எம்முடைய நெஞ்சில் தாம் ஓயாமல் வரவதைப் பற்றி நாணமாட்டாரோ?",LOVE,The Post-marital love,Sad Memories,"Have I a place within his heart?
 Ah from mine he will never depart.",,,"Have I a place within his heart!
 From mine, alas! he never doth depart.
 He continues to abide in my soul, do I likewise abide in his ?"
1205,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,தம்நெஞ்சத் தெம்மைக் கடிகொண்டார் நாணார்கொல் எம்நெஞ்சத் தோவா வரல்,,,காதலராகிய அவரோடு யான் பொருந்தியிருந்த நாட்களை நினைத்துக் கொள்வதால்தான் உயிரோடு இருக்கின்றேன்; வேறு எதனால் உயிர் வாழ்கின்றேன்?,LOVE,The Post-marital love,Sad Memories,"Shame! My heart often he enters
 Banning me entry into his.",,,"Me from his heart he jealously excludes:
 Hath he no shame who ceaseless on my heart intrudes?
 He who has imprisoned me in his soul, is he ashamed to enter incessantly into mine."
1206,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,மற்றியான் என்னுளேன் மன்னோ அவரொடுயான் உற்றநாள் உள்ள உளேன்,,,( காதலரை ) மறந்தறியாமல் நினைத்தாலும் உள்ளத்தைப் பிரிவுத் துன்பம் சுடுகின்றதே! நினைக்காமல் மறந்து விட்டால் என்ன ஆவேனோ?,LOVE,The Post-marital love,Sad Memories,"Beyond the thought of life with him
 What else of life can I presume?",,,"How live I yet? I live to ponder o'er
 The days of bliss with him that are no more.
 I live by remembering my (former) intercourse with him; if it were not so, how could I live ?"
1207,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,மறப்பின் எவனாவன் மற்கொல் மறப்பறியேன் உள்ளினும் உள்ளம் சுடும்,,,காதலரை எவ்வளவு மிகுதியாக நினைத்தாலும் அவர் என்மேல் சினங்கொள்ளார்; காதலர் செய்யும் சிறந்த உதவி அத்தன்மையானது அன்றோ!,LOVE,The Post-marital love,Sad Memories,"What will happen if I forget
 When his memory burns my heart?",,,"If I remembered not what were I then? And yet,
 The fiery smart of what my spirit knows not to forget!
 I have never forgotten (the pleasure); even to think of it burns my soul; could I live, if I should ever forget it ?"
1208,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,எனைத்து நினைப்பினும் காயார் அனைத்தன்றோ காதலர் செய்யும் சிறப்பு,,,நாம் இருவரும் வேறு அல்லேம் என்று அடிக்கடி சொல்லும் அவர் இப்போது அன்பு இல்லாதிருத்தலை மிக நினைத்து என் இனிய உயிர் அழிகின்றது.,LOVE,The Post-marital love,Sad Memories,"I bring him to ceaseless memory
 He chides not; and thus honours me.",,,"My frequent thought no wrath excites. It is not so?
 This honour doth my love on me bestow.
 He will not be angry however much I may think of him; is it not so much the delight my beloved affords me ?"
1209,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,விளியுமென் இன்னுயிர் வேறல்லம் என்பார் அளியின்மை ஆற்ற நினைந்து,,,தி்ங்களே! பிரியாமல் இருந்து இறுதியில் பிரிந்து சென்ற காதலரை என் கண்ணால் தேடிக் காணும்படியாக நீ மறைந்து விடாமல் இருப்பாயாக!,LOVE,The Post-marital love,Sad Memories,"Dear life ebbs away by thought
 Of him who said we are one heart.",,,"Dear life departs, when his ungracious deeds I ponder o'er,
 Who said erewhile, 'We're one for evermore'.
 My precious life is wasting away by thinking too much on the cruelty of him who said we were not different."
1210,இன்பத்துப்பால்,கற்பியல்,நினைந்தவர்புலம்பல்,விடாஅது சென்றாரைக் கண்ணினால் காணப் படாஅதி வாழி மதி,,,( யான் பிரிவால் வருந்தி உறங்கியபோது) காதலர் அனுப்பிய தூதோடு வந்த கனவுக்கு உரிய விருந்தாக என்ன செய்து உதவுவேன்?,LOVE,The Post-marital love,Sad Memories,"Hail moon! Set not so that I find
 Him who left me but not my mind.",,,"Set not; so may'st thou prosper, moon! that eyes may see
 My love who went away, but ever bides with me.
 May you live, O Moon! Do not set, that I mine see him who has departed without quitting my soul."
1211,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,காதலர் தூதொடு வந்த கனவினுக் கியாதுசெய் வேன்கொல் விருந்து,,,"கண்கள் யான் வேண்டுவதுபோல் தூங்குமானால், ( அப்போது வரும் கனவில் காணும்) காதலர்க்கு யான் தப்பிப் பிழைத்திருக்கும்‌ தன்மையைச் சொல்வேன்.",LOVE,The Post-marital love,The Visions of the Night,"How shall I feast this dream-vision
 That brings the beloved's love-mission?",,,"It came and brought to me, that nightly vision rare,
 A message from my love,- what feast shall I prepare?
 Where with shall I feast the dream which has brought me my dear one's messenger ?"
1212,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,கயலுண்கண் யானிரப்பத் துஞ்சின் கலந்தார்க் குயலுண்மை சாற்றுவேன் மன்,,,நனவில் வந்து அன்பு செய்யாத காதலரைக் கனவில் காண்பதால்தான் என்னுடைய உயிர் இன்னும் நீங்காமல் உள்ளதாகின்றது.,LOVE,The Post-marital love,The Visions of the Night,"I beg these fish-like dark eyes sleep
 To tell my lover how life I keep",,,"If my dark, carp-like eye will close in sleep, as I implore,
 The tale of my long-suffering life I'll tell my loved one o'er.
 If my fish-like painted eyes should, at my begging, close in sleep, I could fully relate my sufferings to my lord."
1213,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,நனவினான் நல்கா தவரைக் கனவினால் காண்டலின் உண்டென் உயிர்,,,நனவில் வந்து அன்பு செய்யாத காதலரைத் தேடி அழைத்துக் கொண்டு வருவதற்காகக் கனவில் அவரைப் பற்றிய காதல் நிகழ்ச்சிகள் உண்டாகின்றன.,LOVE,The Post-marital love,The Visions of the Night,"In wakeful hours who sees me not
 I meet in dreams and linger yet.",,,"Him, who in waking hour no kindness shows,
 In dreams I see; and so my lifetime goes!
 My life lasts because in my dream I behold him who does not favour me in my waking hours."
1214,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,கனவினான் உண்டாகும் காமம் நனவினான் நல்காரை நாடித் தரற்கு,,,முன்பு நனவில் கண்ட இன்பமும் அப்பொழுது மட்டும் இனிதாயிற்று; இப்‌பொழுது காணும் கனவும் கண்ட பொழுது மட்டுமே இன்பமாக உள்ளது.,LOVE,The Post-marital love,The Visions of the Night,"In dreams I enjoy his love-bliss
 Who in wakeful hours I miss.",,,"Some pleasure I enjoy when him who loves not me
 In waking hours, the vision searches out and makes me see.
 There is pleasure in my dream, because in it I seek and obtain him who does not visit me in my wakefulness."
1215,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,நனவினாற் கண்டதூஉம் ஆங்கே கனவுந்தான் கண்ட பொழுதே இனிது,,,"நனவு என்று சொல்லப்படுகின்ற ஒன்று இல்லாதிருக்குமானால், கனவில் வந்த காதலர் என்னை விட்டுப் பிரியாமலே இருப்பர்.",LOVE,The Post-marital love,The Visions of the Night,"Dream-sight of him delights at once
 Awake- What of seeing him -hence.",,,"As what I then beheld in waking hour was sweet,
 So pleasant dreams in hour of sleep my spirit greet.
 I saw him in my waking hours, and then it was pleasant; I see him just now in my dream, and it is (equally) pleasant."
1216,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,நனவென ஒன்றில்லை ஆயின் கனவினாற் காதலர் நீங்கலர் மன்,,,"நனவில் வந்து எமக்கு அன்பு செய்யாத கொடுமை உடைய அவர், கனவில் வந்து எம்மை வருத்துவது என்ன காரணத்தால்?",LOVE,The Post-marital love,The Visions of the Night,"If wakeful hours cometo nought
 My lov'r in dreams would nev'r depart",,,"And if there were no waking hour, my love
 In d reams would never from my side remove.
 Were there no such thing as wakefulness, my beloved (who visited me) in my dream would not depart from me."
1217,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,நனவினான் நல்காக் கொடியார் கனவினான் என்னெம்மைப் பீழிப் பது,,,"தூங்கும்போது கனவில் வந்து என் தோள்மேல் உள்ளவராகி, விழி்த்தெழும்போது விரைந்து என் நெஞ்சில் உள்ளவராகிறார்‌.",LOVE,The Post-marital love,The Visions of the Night,"Awake he throws my overtures
 Adream, ah cruel! he tortures!",,,"The cruel one, in waking hour, who all ungracious seems,
 Why should he thus torment my soul in nightly dreams?
 The cruel one who would not favour me in my wakefulness, what right has he to torture me in my dreams?"
1218,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,துஞ்சுங்கால் தோள்மேலர் ஆகி விழிக்குங்கால் நெஞ்சத்தார் ஆவர் விரைந்து,,,"கனவில் காதலர் வரக் காணாத மகளிர், நனவில் வந்து அன்பு செய்யாத கா‌தலரை ( அவர் வராத காரணம் பற்றி ) நொந்து கொள்வர்.",LOVE,The Post-marital love,The Visions of the Night,"Asleep he embraces me fast;
 Awake he enters quick my heart.",,,"And when I sleep he holds my form embraced;
 And when I wake to fill my heart makes haste!
 When I am asleep he rests on my shoulders, (but) when I awake he hastens into my soul."
1219,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,நனவினான் நல்காரை நோவர் கனவினான் காதலர்க் காணா தவர்,,,நனவில் நம்‌மை விட்டு நீங்கினார் என்று காதலரைப் பழித்து பேசுகின்றனரே! இந்த ஊரார் கனவில் அவரைக் காண்பதில்லையோ?,LOVE,The Post-marital love,The Visions of the Night,"In dreams who don't discern lovers
 Rue their missing in wakeful hours",,,"In dreams who ne'er their lover's form perceive,
 For those in waking hours who show no love will grieve.
 They who have no dear ones to behold in their dreams blame him who visits me not in my waking hours."
1220,இன்பத்துப்பால்,கற்பியல்,கனவு நிலையுரைத்தல்,நனவினான் நம்நீத்தார் என்பர் கனவினான் காணார்கொல் இவ்வூ ரவர்,,,பொழுதே! நீ மாலைக்காலம் அல்ல; (காதலரோடு கூடியிருந்து பிறகு பிரிந்து வாழும்) மகளிரின் உயிரை உண்ணும் முடிவுக் காலமாக இருக்கினறாய்!,LOVE,The Post-marital love,The Visions of the Night,"The townsmen say he left me thus
 In dreams failing to see him close",,,"They say, that he in waking hours has left me lone;
 In dreams they surely see him not,- these people of the town;
 The women of this place say he has forsaken me in my wakefulness. I think they have not seen him visit me in my dreams."
1221,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,மாலையோ அல்லை மணந்தார் உயிருண்ணும் வேலைநீ வாழி பொழுது,,,மயங்கிய மாலைப்‌பொழுதே! நீயும் எம்மைப்போல் துன்பப்படுகின்‌றாயே! உன் துணையும் எம் காதலர் போல் இரக்கம் அற்றதோ?,LOVE,The Post-marital love,Lamentations at Eventide,"Bless you! you are not eventide
 But killing dart to wedded bride!",,,"Thou art not evening, but a spear that doth devour
 The souls of brides; farewell, thou evening hour!
 Live, O you evening are you (the former) evening? No, you are the season that slays (married) women."
1222,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,புன்கண்ணை வாழி மருள்மாலை எங்கேள்போல் வன்கண்ண தோநின் துணை,,,பனி தோன்றிப் பசந்த நிறம் கொண்ட மாலைப் பொழுது எனக்கு வருத்தம் ஏற்பட்டுத் துன்பம் மேன்மேலும் வளரும்படியாக வருகின்றது.,LOVE,The Post-marital love,Lamentations at Eventide,"Hail sad eventide dim and grim
 Has your mate like mine, cruel whim!",,,"Thine eye is sad; Hail, doubtful hour of eventide!
 Of cruel eye, as is my spouse, is too thy bride?
 A long life to you, O dark evening! You are sightless. Is your help-mate (also) as hard-hearted as mine."
1223,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,பனியரும்பிப் பைதல்கொள் மாலை துனியரும்பித் துன்பம் வளர வரும்,,,"காதலர் இல்லாத இப்போது, கொலை செய்யும் இடத்தில் பகைவர் வருவது போல் மாலைப்பொழுது ( என் உயிரைக் கொள்ள) வருகின்றது.",LOVE,The Post-marital love,Lamentations at Eventide,"Wet eve came pale and trembling then
 Now it makes bold with growing pain.",,,"With buds of chilly dew wan evening's shade enclose;
 My anguish buds space and all my sorrow grows.
 The evening that (once) came in with trembling and dimness (now) brings me an aversion for life and increasing sorrow."
1224,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,காதலர் இல்வழி மாலை கொலைக்களத் தேதிலர் போல வரும்,,,யான் காலைப்பொழுதிற்குச் செய்த நன்மை என்ன? (என்னைத் துன்புறுத்துகின்ற) மாலைப் பொழுதிற்குச் செய்த பகையான தீமை என்ன?,LOVE,The Post-marital love,Lamentations at Eventide,"Lover away, comes eventide
 Like slayer to field of homicide.",,,"When absent is my love, the evening hour descends,
 As when an alien host to field of battle wends.
 In the absence of my lover, evening comes in like slayers on the field of slaughter."
1225,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,காலைக்குச் செய்தநன் றென்கொல் எவன்கொல்யான் மாலைக்குச் செய்த பகை,,,மாலைப் பொழுது இவ்வாறு துன்பம் செய்ய வல்லது என்பதைக் காதலர் என்னை விட்டு அகலாமல் உடனிருந்த காலத்தில் யான் அறியவில்லை.,LOVE,The Post-marital love,Lamentations at Eventide,"What good have I done to morning
 And what evil to this evening?",,,"O morn, how have I won thy grace? thou bring'st relief
 O eve, why art thou foe! thou dost renew my grief.
 What good have I done to morning (and) what evil to evening?"
1226,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,மாலைநோய் செய்தல் மணந்தார் அகலாத காலை அறிந்த திலேன்,,,"இந்த காமநோய், காலைப்பொழுதில் அரும்பாய்த் தோன்றி, பகற்பொழுதெல்லாம் பேரரும்பாய் வளர்ந்து மாலைப்பொழுதில் மலராகின்றது.",LOVE,The Post-marital love,Lamentations at Eventide,"Evening pangs I have not known
 When my lord nev'r left me alone.",,,"The pangs that evening brings I never knew,
 Till he, my wedded spouse, from me withdrew.
 Previous to my husband's departure, I know not the painful nature of evening."
1227,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,காலை அரும்பிப் பகலெல்லாம் போதாகி மாலை மலருமிந் நோய்,,,"ஆயனுடைய புல்லாங்குழல், நெருப்புப்போல் வருத்தும்‌ மாலைப்பொழுதிற்குத் தூதாகி என்னைக் கொல்லும்‌‌ படையாகவும் வருகின்றது.",LOVE,The Post-marital love,Lamentations at Eventide,"Budding at dawn burgeoning all day
 This disease blooms in evening gay.",,,"My grief at morn a bud, all day an opening flower,
 Full-blown expands in evening hour.
 This malady buds forth in the morning, expands all day long and blossoms in the evening."
1228,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,அழல்போலும் மாலைக்குக் தூதாகி ஆயன் குழல்போலும் கொல்லும் படை,,,"அறிவு மயங்கும்படியாக மாலைப்பொழுது வந்து படரும்போது, இந்த ஊரும் மயங்கி என்னைப் போல் துன்பத்தால் வருந்தும்.",LOVE,The Post-marital love,Lamentations at Eventide,"A deadly arm, this shepherd's flute
 Hails flaming eve and slays my heart.",,,"The shepherd's pipe is like a murderous weapon, to my ear,
 For it proclaims the hour of ev'ning's fiery anguish near.
 The shepherd's flute now sounds as a fiery forerunner of night, and is become a weapon that slays (me)."
1229,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,பதிமருண்டு பைதல் உழக்கும் மதிமருண்டு மாலை படர்தரும் போழ்து,,,"( பிரிவுத் துன்பத்தால்) மாயமாய் நின்ற என் உயிர், பொருள் காரணமாகப் பிரிந்து சென்ற காதலரை நினைந்து மயங்குகின்ற இம் மாலைப்பொழுதில் மாய்கின்றது.",LOVE,The Post-marital love,Lamentations at Eventide,"Deluding eve if it prolongs
 The whole town will suffer love-pangs.",,,"If evening's shades, that darken all my soul, extend;
 From this afflicted town will would of grief ascend.
 When night comes on confusing (everyone's) mind, the (whole) town will lose its sense and be plunged in sorrow."
1230,இன்பத்துப்பால்,கற்பியல்,பொழுதுகண்டிரங்கல்,பொருள்மாலை யாளரை உள்ளி மருள்மாலை மாயுமென் மாயா உயிர்,,,இத்துன்பத்தை நமக்கு விட்டு விட்டுத் தொலைவில் உள்ள நாட்டுக்குச் சென்ற காதலரை நினைந்து அழுதமையால் கண்கள் அழகு இழந்து நறுமலர்களுக்கு நாணி விட்டன.,LOVE,The Post-marital love,Lamentations at Eventide,"Thinking of him whose quest is wealth
 My life outlives the twilight stealth.",,,"This darkening eve, my darkling soul must perish utterly;
 Remembering him who seeks for wealth, but seeks not me.
 My (hitherto) unextinguished life is now lost in this bewildering night at the thought of him who
 has the nature of wealth."
1231,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,சிறுமை நமக்கொழியச் சேட்சென்றார் உள்ளி நறுமலர் நாணின கண்,,,"பசலை நிறம் அடைந்து நீர் சொரியும் கண்கள், நாம் விரும்பிய காதலர் நமக்கு அன்பு செய்யாத தன்மையைப் ( பிறர்க்குச்) சொல்வன போல் உள்ளன.",LOVE,The Post-marital love,Wasting Away,"To lift from want he left me afar
 His thought makes my eyes blush the flower.",,,"Thine eyes grown dim are now ashamed the fragrant flow'rs to see,
 Thinking on him, who wand'ring far, leaves us in misery.
 While we endure the unbearable sorrow, your eyes weep for him who is gone afar, and shun (the
 sight of) fragrant flowers."
1232,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,நயந்தவர் நல்காமை சொல்லுவ போலும் பசந்து பனிவாரும் கண்,,,"கூடியிருந்த காலத்தில் மகிழ்ந்து பூரித்திருந்த தோள்கள், ( இப்போது மெலிந்தும்) காதலருடைய பிரிவை நன்றாக அறிவிப்பவை போல் உள்ளன.",LOVE,The Post-marital love,Wasting Away,"My pale tearful eyes betray
 The hardness of my husband, away",,,"The eye, with sorrow wan, all wet with dew of tears,
 As witness of the lover's lack of love appears.
 The discoloured eyes that shed tears p rofusely seem to betray the unkindness of our beloved."
1233,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,தணந்தமை சால அறிவிப்ப போலும் மணந்தநாள் வீங்கிய தோள்,,,"துணைவர் விட்டு நீங்கியதால் பழைய அழகு கெட்டு வாடிய தோள்கள், பருத்த தன்மை கெட்டு மெலிந்து வளையல்களும் கழலச் செய்கின்றன.",LOVE,The Post-marital love,Wasting Away,"These arms that swelled on nuptial day
 Now shrunk proclaim ""He is away"".",,,"These withered arms, desertion's pangs abundantly display,
 That swelled with joy on that glad nuptial day.
 The shoulders that swelled on the day of our union (now) seem to announce our separation clearly (to the public)."
1234,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,பணைநீங்கிப் பைந்தொடி சோரும் துணைநீங்கித் தொல்கவின் வாடிய தோள்,,,"வளையல்களும் கழன்று பழைய அழகும் கெட்டு, வாடிய தோள்கள் (என் துன்பம் உணராத) கொடியவரி்ன கொடுமையைப் பிறர் அறியச் சொல்கின்றன.",LOVE,The Post-marital love,Wasting Away,"Bracelets slip off the arms that have
 Lost old beauty for He took leave.",,,"When lover went, then faded all their wonted charms,
 And armlets' golden round slips off from these poor wasted arms.
 In the absence of your consort, your shoulders having lost their former beauty and fulness, your bracelets of pure gold have become loose."
1235,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,கொடியார் கொடுமை உரைக்கும் தொடியொடு தொல்கவின் வாடிய தோள்,,,வளையல்கள் கழன்று தோள்களும் மெலிவடைவதால் (அவற்றைக் காண்போர்) காதலரைக் கொடியவர் என்று கூறுவதைக் கேட்டு வருந்துகின்றேன்.,LOVE,The Post-marital love,Wasting Away,"Bereft of bracelets and old beauty
 Arms tell the cruel's cruelty.",,,"These wasted arms, the bracelet with their wonted beauty gone,
 The cruelty declare of that most cruel one.
 The (loosened) bracelets, and the shoulders from which the old beauty has faded, relate the cruelty of the pitiless one."
1236,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,தொடியொடு தோள்நேகிழ நோவல் அவரைக் கொடியார் எனக்கூறல் நொந்து,,,"நெஞ்சே! கொடியவர் என்று சொல்லப்படுகின்ற காதலர்க்கு என் மெலிந்த தோள்களின் ஆரவாரத்தை உரைத்து, அந்த உதவியால் பெருமை அடைவாயோ?",LOVE,The Post-marital love,Wasting Away,"Arms thin, armlets loose make you call
 My sire cruel; that pains my soul.",,,"I grieve, 'tis pain to me to hear him cruel chid,
 Because the armlet from my wasted arm has slid.
 I am greatly pained to hear you call him a cruel man, just because your shoulders are reduced and your bracelets loosened."
1237,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,பாடு பெறுதியோ நெஞ்சே கொடியார்க்கென் வாடுதோட் பூசல் உரைத்து,,,"தழுவிய கை‌களைத் தளர்த்தியவுடனே, பைந்தொடி அணிந்த காதலியின் நெற்றி, ( அவ்வளவு சிறியதாகிய பிரிவையும் பொறுக்காமல்) பசலை நிறம் அடைந்தது.",LOVE,The Post-marital love,Wasting Away,"Go and tell the cruel, O mind
 Bruit ov'r my arms and glory find.",,,"My heart! say ought of glory wilt thou gain,
 If to that cruel one thou of thy wasted arms complain?
 Can you O my soul! gain glory by relating to the (so-called) cruel one the clamour of my fading shoulders?"
1238,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,முயங்கிய கைகளை ஊக்கப் பசந்தது பைந்தொடிப் பேதை நுதல்,,,"தழுவுதலுக்கு இடையே குளி்ந்த காற்று நுழைய, காதலியின் பெரிய மழை போன்ற கண்கள் பசலை நிறம் அடைந்தன.",LOVE,The Post-marital love,Wasting Away,"The front of this fair one O paled
 As my clasping arms loosed their hold.",,,"One day the fervent pressure of embracing arms I checked,
 Grew wan the forehead of the maid with golden armlet decked.
 When I once loosened the arms that were in embrace, the forehead of the gold-braceleted women turned sallow."
1239,இன்பத்துப்பால்,கற்பியல்,உறுப்புநலனழிதல்,முயக்கிடைத் தண்வளி போழப் பசப்புற்ற பேதை பெருமழைக் கண்,,,"காதலியின் ஒளி பொருந்திய நெற்றி, பசலை நிறம் உற்றதைக் கண்டு, அவளுடைய க்ண்களில் பசலையும் துன்பம் அடைந்து விட்டது.",LOVE,The Post-marital love,Wasting Away,"Cool breeze crept between our embrace
 Her large rain-cloud-eyes paled at once.",,,"As we embraced a breath of wind found entrance there;
 The maid's large liquid eyes were dimmed with care.
 When but a breath of breeze penetrated our embrace, her large cool eyes became sallow."
